,time,open,high,low,close,volume,ticker
894,2017-08-09,38240,38240,37850,38020,17280,IMP
895,2017-08-10,37850,38190,37850,37900,13560,IMP
896,2017-08-11,37790,38640,37790,38350,20890,IMP
897,2017-08-14,38350,38800,37900,38640,7750,IMP
898,2017-08-15,38350,38800,38350,38350,7530,IMP
899,2017-08-16,38640,38640,38350,38350,21010,IMP
900,2017-08-17,38350,38580,38350,38350,6060,IMP
901,2017-08-18,38350,38750,38130,38130,5260,IMP
902,2017-08-21,38130,38640,38130,38520,11290,IMP
903,2017-08-22,38350,38800,38350,38580,8240,IMP
904,2017-08-23,38580,38640,38350,38350,6620,IMP
905,2017-08-24,38350,38520,38240,38520,4010,IMP
906,2017-08-25,38410,38470,38070,38070,9030,IMP
907,2017-08-28,38350,38350,38070,38190,7000,IMP
908,2017-08-29,38190,38350,37850,38020,10520,IMP
909,2017-08-30,38020,38070,37850,38070,2340,IMP
910,2017-08-31,38070,38350,37960,38020,9360,IMP
911,2017-09-01,38020,38640,37790,38580,10570,IMP
912,2017-09-05,38640,38640,38410,38580,13070,IMP
913,2017-09-06,38580,38580,38070,38240,6570,IMP
914,2017-09-07,38240,38240,37790,38240,21820,IMP
915,2017-09-08,37900,37900,36950,37230,34660,IMP
916,2017-09-11,37340,37510,36660,36660,18940,IMP
917,2017-09-12,36660,36660,35930,36440,10990,IMP
918,2017-09-13,36160,36660,36160,36210,10540,IMP
919,2017-09-14,36660,37170,36380,36780,27020,IMP
920,2017-09-15,36780,37170,34980,35540,245330,IMP
921,2017-09-18,35540,35540,34860,35030,49210,IMP
922,2017-09-19,36610,36610,34980,35540,47000,IMP
923,2017-09-20,35820,36050,35540,35540,16080,IMP
924,2017-09-21,35540,35990,35370,35990,15220,IMP
925,2017-09-22,35540,35990,35310,35370,7320,IMP
926,2017-09-25,34980,35540,34980,35260,68090,IMP
927,2017-09-26,35480,35480,34860,35140,110410,IMP
928,2017-09-27,35140,35140,34810,35140,27900,IMP
929,2017-09-28,34980,35140,34860,35140,6330,IMP
930,2017-09-29,34860,35540,34860,35540,33990,IMP
931,2017-10-02,35540,35650,35140,35590,7030,IMP
932,2017-10-03,35540,35820,35260,35820,12750,IMP
933,2017-10-04,35260,35930,35260,35540,5560,IMP
934,2017-10-05,35430,35760,35430,35760,1230,IMP
935,2017-10-06,35990,35990,35310,35310,6430,IMP
936,2017-10-09,35310,35540,35310,35310,7720,IMP
937,2017-10-10,35310,35370,35310,35310,12210,IMP
938,2017-10-11,35310,35430,35260,35260,18450,IMP
939,2017-10-12,35140,35370,35090,35370,4130,IMP
940,2017-10-13,35140,35540,35140,35310,1630,IMP
941,2017-10-16,35260,36270,35200,35820,26210,IMP
942,2017-10-17,35820,36050,35820,35820,6850,IMP
943,2017-10-18,35820,35820,35820,35820,4220,IMP
944,2017-10-19,35820,37510,35540,37170,28600,IMP
945,2017-10-20,36610,36660,36050,36050,18740,IMP
946,2017-10-23,36210,36380,35540,35590,16930,IMP
947,2017-10-24,35540,35820,35260,35540,11240,IMP
948,2017-10-25,35540,35820,35540,35820,12040,IMP
949,2017-10-26,35540,36050,35140,35710,12410,IMP
950,2017-10-27,35200,35930,35200,35820,2300,IMP
951,2017-10-30,35540,35540,35030,35140,20920,IMP
952,2017-10-31,34750,35260,34750,35140,8470,IMP
953,2017-11-01,35140,35310,35140,35260,6510,IMP
954,2017-11-02,35430,35430,35140,35260,14850,IMP
955,2017-11-03,34980,35260,34860,35260,17420,IMP
956,2017-11-06,34980,35650,34980,35650,17310,IMP
957,2017-11-07,35820,35820,35480,35820,4080,IMP
958,2017-11-08,35260,35820,35260,35540,4780,IMP
959,2017-11-09,35820,35820,35480,35480,11550,IMP
960,2017-11-10,35540,35540,35140,35480,4200,IMP
961,2017-11-13,35480,35820,35260,35820,16820,IMP
962,2017-11-14,35820,36610,35590,35590,23570,IMP
963,2017-11-15,36610,38070,35820,38070,119270,IMP
964,2017-11-16,38070,38640,37960,38350,66190,IMP
965,2017-11-17,38350,39490,37570,39490,67530,IMP
966,2017-11-20,39770,41970,39490,40330,131320,IMP
967,2017-11-21,41180,41180,37790,38470,73670,IMP
968,2017-11-22,38350,39490,38350,39210,24790,IMP
969,2017-11-23,38690,38690,38130,38300,21070,IMP
970,2017-11-24,37790,38300,37680,38300,22880,IMP
971,2017-11-27,38300,38350,37280,37510,23790,IMP
972,2017-11-28,37800,38360,37510,37800,19520,IMP
973,2017-11-29,37510,38480,37510,37970,8150,IMP
974,2017-11-30,38190,38590,37800,37970,15470,IMP
975,2017-12-01,37510,37970,37510,37680,19020,IMP
976,2017-12-04,37680,37910,37680,37910,27590,IMP
977,2017-12-05,37910,37910,37680,37680,10750,IMP
978,2017-12-06,37510,37910,37230,37680,6200,IMP
979,2017-12-07,38030,38030,37510,37800,17270,IMP
980,2017-12-08,37910,38080,37860,37970,15580,IMP
981,2017-12-11,37620,37910,37510,37510,4930,IMP
982,2017-12-12,37620,37620,36090,36370,27360,IMP
983,2017-12-13,37510,37510,36370,36950,22350,IMP
984,2017-12-14,36950,36950,36660,36950,24010,IMP
985,2017-12-15,36950,37800,36950,37800,19410,IMP
986,2017-12-18,37800,37860,37230,37730,17380,IMP
987,2017-12-19,37230,37680,37230,37620,9540,IMP
988,2017-12-20,37510,37620,37230,37510,9930,IMP
989,2017-12-21,37120,37230,37120,37120,13850,IMP
990,2017-12-22,37230,37800,37230,37620,9910,IMP
991,2017-12-25,37620,37970,36950,37510,5720,IMP
992,2017-12-26,37800,37800,36950,37060,8920,IMP
993,2017-12-27,37060,37400,36950,37400,5900,IMP
994,2017-12-28,36950,37450,36950,37450,6440,IMP
995,2017-12-29,37450,37570,36950,37510,8230,IMP
996,2018-01-02,36660,37230,36660,37230,4770,IMP
997,2018-01-03,37620,37620,36950,37510,41890,IMP
998,2018-01-04,37510,37620,37510,37510,29740,IMP
999,2018-01-05,37510,37570,37230,37230,9630,IMP
1000,2018-01-08,36950,37400,36950,37400,5110,IMP
1001,2018-01-09,37400,37450,37230,37340,21060,IMP
1002,2018-01-10,37340,37800,37340,37680,34110,IMP
1003,2018-01-11,37680,37680,37340,37510,12710,IMP
1004,2018-01-12,37510,37800,37340,37510,31050,IMP
1005,2018-01-15,37620,38880,37510,38880,28510,IMP
1006,2018-01-16,38530,39160,38080,38530,7820,IMP
1007,2018-01-17,38080,38360,38080,38080,1210,IMP
1008,2018-01-18,38080,38080,37230,38080,9360,IMP
1009,2018-01-19,38310,38310,38080,38190,19910,IMP
1010,2018-01-22,37280,38080,36950,37170,25060,IMP
1011,2018-01-25,37510,37510,36600,36600,62660,IMP
1012,2018-01-26,36600,37230,36600,37230,8400,IMP
1013,2018-01-29,36950,37230,36430,36950,25830,IMP
1014,2018-01-30,35130,36950,35130,36710,42780,IMP
1015,2018-01-31,36950,36950,35240,36660,28190,IMP
1016,2018-02-01,36950,36950,36370,36890,6860,IMP
1017,2018-02-02,36370,36370,36090,36370,13890,IMP
1018,2018-02-05,35810,36090,35240,35240,9350,IMP
1019,2018-02-06,35240,35240,33530,34900,31900,IMP
1020,2018-02-07,36370,36370,35810,35810,11980,IMP
1021,2018-02-08,34960,35690,34960,35180,13580,IMP
1022,2018-02-09,33250,35350,33250,34960,6570,IMP
1023,2018-02-12,35810,35810,35240,35580,11190,IMP
1024,2018-02-13,35580,35810,35580,35810,14050,IMP
1025,2018-02-21,35520,35810,35520,35810,22970,IMP
1026,2018-02-22,35810,36090,35810,35810,18430,IMP
1027,2018-02-23,36200,36200,35580,35580,9020,IMP
1028,2018-02-26,35580,35580,35130,35240,53980,IMP
1029,2018-02-27,35240,36090,34670,36090,37640,IMP
1030,2018-02-28,36040,36040,35180,36040,22290,IMP
1031,2018-03-01,36040,36370,35810,36320,9830,IMP
1032,2018-03-02,36320,36320,36090,36260,8920,IMP
1033,2018-03-05,36540,36540,36090,36090,20640,IMP
1034,2018-03-06,36200,36200,36090,36200,22920,IMP
1035,2018-03-07,36200,36200,35920,36090,29360,IMP
1036,2018-03-08,36090,36090,36090,36090,15130,IMP
1037,2018-03-09,36090,36090,36040,36040,17210,IMP
1038,2018-03-12,35870,36090,35520,36090,17410,IMP
1039,2018-03-13,35810,35810,35810,35810,12500,IMP
1040,2018-03-14,35240,35870,35240,35810,11460,IMP
1041,2018-03-15,35810,36090,35520,35580,7410,IMP
1042,2018-03-16,35920,36090,35810,36090,11000,IMP
1043,2018-03-19,36370,36370,35810,35810,11910,IMP
1044,2018-03-20,35810,36090,35810,36040,4400,IMP
1045,2018-03-21,36540,36540,36040,36040,21330,IMP
1046,2018-03-22,36200,36200,36040,36090,6790,IMP
1047,2018-03-23,35520,36320,35520,36260,2760,IMP
1048,2018-03-26,36090,36260,36090,36090,11630,IMP
1049,2018-03-27,35810,36150,35810,36090,27500,IMP
1050,2018-03-28,35690,35810,35630,35810,6050,IMP
1051,2018-03-29,36090,36090,35810,35810,8280,IMP
1052,2018-03-30,35810,35810,35810,35810,2210,IMP
1053,2018-04-02,35810,36260,35630,35810,14690,IMP
1054,2018-04-03,35810,35870,35810,35810,16900,IMP
1055,2018-04-04,36090,36090,35980,35980,1190,IMP
1056,2018-04-05,36090,36090,35690,35690,4550,IMP
1057,2018-04-06,35810,36040,35750,35810,2910,IMP
1058,2018-04-09,36090,36090,35810,36090,40620,IMP
1059,2018-04-10,36090,36090,35580,35580,29130,IMP
1060,2018-04-11,35810,35870,35580,35810,8520,IMP
1061,2018-04-12,36370,36370,35290,35750,29440,IMP
1062,2018-04-13,36950,36950,35750,35750,11880,IMP
1063,2018-04-16,36090,36090,35750,35750,3460,IMP
1064,2018-04-17,35750,36090,35750,35750,10610,IMP
1065,2018-04-18,35520,35810,35520,35520,6310,IMP
1066,2018-04-19,35520,35810,35520,35750,3870,IMP
1067,2018-04-20,35810,35810,35580,35810,1580,IMP
1068,2018-04-23,35980,36090,35750,35810,16810,IMP
1069,2018-04-24,35410,35810,35240,35240,20870,IMP
1070,2018-04-26,35690,35690,34730,34730,8760,IMP
1071,2018-04-27,34670,35750,34670,35750,3030,IMP
1072,2018-05-02,35240,35810,34730,35240,7190,IMP
1073,2018-05-03,35240,35240,34670,34790,35050,IMP
1074,2018-05-04,35810,35810,34960,35010,22730,IMP
